#X,Y,X_true,Y_true,Phi,V,Zx,Zy,
-6.19631,17.4926,-6.10808,17.8789,3.87533,1.53511,-6.13857,17.6072,
-6.27364,17.4301,-6.18656,17.817,3.88533,1.53511,-6.21705,17.5453,
-6.35034,17.3668,-6.26441,17.7542,3.89534,1.53511,-6.29491,17.4825,
-6.4264,17.3027,-6.34164,17.6907,3.90534,1.53511,-6.37213,17.419,
-6.50182,17.2378,-6.41823,17.6264,3.91535,1.53511,-6.44872,17.3547,
-6.57658,17.1723,-6.49417,17.5613,3.92535,1.53511,-6.52466,17.2896,
-6.65069,17.1059,-6.56945,17.4955,3.93535,1.53511,-6.59994,17.2238,
-6.72413,17.0388,-6.64408,17.4289,3.94536,1.53511,-6.67457,17.1572,
-6.79689,16.971,-6.71803,17.3616,3.95536,1.53511,-6.74852,17.0899,
-6.86898,16.9025,-6.79131,17.2936,3.96537,1.53511,-6.8218,17.0219,
-6.94037,16.8333,-6.8639,17.2248,3.97537,1.53511,-6.89439,16.9531,
-7.01107,16.7633,-6.9358,17.1553,3.98538,1.53511,-6.96629,16.8836,
-7.08107,16.6927,-7.00701,17.0851,3.99538,1.53511,-7.0375,16.8134,
-7.15035,16.6213,-7.0775,17.0142,4.00539,1.53511,-7.108,16.7424,
-7.21892,16.5493,-7.14729,16.9425,4.01539,1.53511,-7.17778,16.6708,
-7.28676,16.4765,-7.21635,16.8702,4.02539,1.53511,-7.24684,16.5985,
-7.35388,16.4031,-7.28469,16.7972,4.0354,1.53511,-7.31518,16.5255,
-7.42025,16.3291,-7.3523,16.7235,4.0454,1.53511,-7.38279,16.4518,
-7.48589,16.2543,-7.41916,16.6492,4.05541,1.53511,-7.44965,16.3775,
-7.55077,16.179,-7.48528,16.5741,4.06541,1.53511,-7.51577,16.3024,
-7.61489,16.1029,-7.55064,16.4985,4.07541,1.53511,-7.58114,16.2268,
-7.67825,16.0263,-7.61525,16.4221,4.08542,1.53511,-7.64574,16.1504,
-7.74085,15.949,-7.67909,16.3452,4.09542,1.53511,-7.70958,16.0735,
-7.80266,15.8711,-7.74215,16.2675,4.10542,1.53511,-7.77264,15.9958,
-7.86369,15.7925,-7.80444,16.1893,4.11543,1.53511,-7.83493,15.9176,
-7.92394,15.7134,-7.86594,16.1105,4.12543,1.53511,-7.89643,15.8388,
-7.98339,15.6337,-7.92665,16.031,4.13543,1.53511,-7.95714,15.7593,
-8.04204,15.5533,-7.98656,15.9509,4.14544,1.53511,-8.01705,15.6792,
-8.09989,15.4724,-8.04566,15.8703,4.15544,1.53511,-8.07616,15.5986,
-8.15692,15.3909,-8.10396,15.789,4.16544,1.53511,-8.13445,15.5173,
-8.21313,15.3089,-8.16144,15.7072,4.17545,1.53511,-8.19194,15.4355,
-8.26852,15.2263,-8.21811,15.6248,4.18545,1.53511,-8.2486,15.3531,
-8.32309,15.1431,-8.27394,15.5418,4.19545,1.53511,-8.30443,15.2701,
-8.37682,15.0594,-8.32894,15.4583,4.20546,1.53511,-8.35943,15.1866,
-8.4297,14.9752,-8.38311,15.3743,4.21546,1.53511,-8.4136,15.1026,
-8.48175,14.8905,-8.43643,15.2897,4.22546,1.53511,-8.46692,15.018,
-8.53294,14.8052,-8.4889,15.2045,4.23547,1.53511,-8.51939,14.9328,
-8.58328,14.7194,-8.54052,15.1189,4.24547,1.53511,-8.57101,14.8472,
-8.63276,14.6331,-8.59128,15.0327,4.25547,1.53511,-8.62177,14.761,
-8.68137,14.5464,-8.64117,14.9461,4.26547,1.53511,-8.67166,14.6744,
-8.72912,14.4591,-8.6902,14.8589,4.27548,1.53511,-8.72069,14.5872,
-8.77598,14.3714,-8.73835,14.7713,4.28548,1.53511,-8.76884,14.4996,
-8.82197,14.2832,-8.78562,14.6831,4.29548,1.53511,-8.81611,14.4114,
-8.86708,14.1946,-8.83201,14.5946,4.30548,1.53511,-8.8625,14.3228,
-8.91129,14.1055,-8.87751,14.5055,4.31549,1.53511,-8.90801,14.2338,
