#File Generated by kernel at: Fri May  8 15:42:16 2020
#Time,P,V,
146,1.93389,-3.05925,
146.5,1.96487,-3.25648,
147,1.78222,-2.8301,
147.5,1.88968,-2.7706,
148,1.97693,-3.00899,
148.5,1.91459,-3.03454,
149,1.95368,-3.19354,
149.5,1.79312,-2.80436,
150,1.97399,-3.03271,
150.5,2.04409,-3.5004,
151,1.89911,-3.4731,
151.5,1.79754,-3.09901,
152,1.96224,-3.28725,
152.5,1.83432,-3.03873,
153,2.01193,-3.39661,
153.5,1.88944,-3.33629,
154,1.73824,-2.75974,
154.5,2.13558,-3.53982,
155,1.97488,-3.77122,
155.5,1.80793,-3.43262,
156,1.86276,-3.2812,
156.5,1.78064,-2.84943,
157,1.92517,-2.9111,
157.5,1.83315,-2.65859,
158,1.88988,-2.59977,
158.5,2.02793,-3.0123,
159,1.97737,-3.25218,
159.5,1.962,-3.43959,
160,1.69587,-2.71839,
160.5,1.90916,-2.72541,
161,1.8363,-2.48368,
161.5,1.90182,-2.46564,
162,1.9566,-2.63461,
162.5,1.98926,-2.91511,
163,1.81362,-2.59592,
163.5,1.99516,-2.89657,
164,1.89096,-2.84145,
164.5,1.92925,-2.91707,
165,1.88348,-2.83641,
165.5,1.93648,-2.93671,
166,1.76336,-2.44593,
166.5,1.92465,-2.50583,
167,1.91576,-2.53536,
167.5,1.92699,-2.60323,
168,1.83112,-2.34381,
168.5,1.97837,-2.58711,
169,2.01128,-2.94278,
169.5,1.93473,-3.03709,
170,1.87586,-2.93039,
170.5,1.90256,-2.91485,
171,1.9463,-3.04867,
171.5,1.83309,-2.79596,
172,1.88099,-2.70679,
172.5,1.74974,-2.16949,
173,1.89512,-2.12855,
173.5,1.88798,-2.06324,
174,1.93643,-2.16334,
174.5,1.97586,-2.39807,
175,1.96836,-2.6072,
175.5,2.00829,-2.95266,
176,1.9235,-3.00864,
176.5,1.95949,-3.18749,
177,1.95029,-3.33493,
177.5,1.90344,-3.32242,
178,1.85978,-3.16084,
178.5,1.84546,-2.95035,
179,1.94841,-3.09138,
179.5,1.96249,-3.28048,
180,1.92519,-3.34223,
180.5,1.91693,-3.37576,
181,1.8568,-3.20401,
181.5,1.91907,-3.24485,
182,1.88499,-3.16932,
182.5,1.83194,-2.91268,
183,1.88622,-2.84135,
183.5,1.92838,-2.91399,
184,1.93692,-3.01577,
184.5,1.83071,-2.75495,
185,1.93415,-2.84727,
185.5,2.03353,-3.27892,
186,1.87272,-3.16153,
186.5,1.8018,-2.802,
187,1.97643,-3.0387,
187.5,1.79018,-2.63948,
188,1.96213,-2.82732,
188.5,1.81497,-2.51275,
189,2.00903,-2.86075,
189.5,1.8385,-2.62652,
190,1.86919,-2.49706,
190.5,1.8903,-2.43968,
191,1.95662,-2.60875,
191.5,1.95062,-2.75731,
192,1.94375,-2.88242,
192.5,1.85675,-2.7105,
193,1.96211,-2.8983,
193.5,1.99845,-3.21017,
194,1.90966,-3.2189,
194.5,1.90545,-3.21326,
195,1.82358,-2.92809,
195.5,1.86527,-2.78525,
196,1.93325,-2.87451,
196.5,1.80501,-2.52593,
197,1.75586,-2.00955,
197.5,2.06638,-2.55333,
198,1.95765,-2.7259,
198.5,1.87159,-2.60465,
199,1.92038,-2.64996,
199.5,1.92609,-2.71478,
200,1.97405,-2.94334,
200.5,1.96899,-3.15462,
201,1.78906,-2.75159,
201.5,1.97637,-2.98808,
202,1.98863,-3.26643,
202.5,1.81626,-2.95624,
203,1.86507,-2.81272,
203.5,1.85311,-2.62837,
204,1.89591,-2.59015,
204.5,1.94752,-2.72811,
205,1.90175,-2.70981,
205.5,1.87602,-2.60366,
206,1.91348,-2.62541,
206.5,1.78531,-2.20958,
207,1.92661,-2.27619,
207.5,2.04536,-2.74821,
208,1.99822,-3.0593,
208.5,1.88049,-2.96843,
209,1.84963,-2.77219,
209.5,1.89243,-2.72207,
210,1.81224,-2.39819,
210.5,1.9357,-2.49579,
211,2.03007,-2.91561,
211.5,1.88127,-2.82739,
212,1.81937,-2.52783,
212.5,2.03945,-2.97968,
213,2.08254,-3.57865,
213.5,1.90969,-3.58746,
214,1.94034,-3.70091,
214.5,1.83901,-3.4684,
215,1.87414,-3.35584,
215.5,1.80421,-3.00454,
216,1.90846,-3.00917,
216.5,1.99815,-3.32,
217,1.97177,-3.54078,
217.5,1.92525,-3.60274,
218,1.83403,-3.35323,
218.5,1.71812,-2.70801,
219,1.89433,-2.66439,
219.5,1.82542,-2.38549,
220,2.00698,-2.72647,
220.5,2.01024,-3.07858,
221,1.83943,-2.84751,
221.5,1.87319,-2.73173,
222,1.92031,-2.77681,
222.5,1.86836,-2.64453,
223,1.95178,-2.79706,
223.5,1.81779,-2.4921,
224,1.91163,-2.50755,
224.5,1.85318,-2.32344,
225,2.0278,-2.7355,
225.5,1.9894,-3.01648,
226,1.9994,-3.33158,
226.5,1.84925,-3.13403,
227,1.91064,-3.14611,
227.5,1.89189,-3.09415,
228,1.82833,-2.82517,
228.5,1.85133,-2.63475,
229,1.87681,-2.53131,
229.5,1.81677,-2.22288,
230,1.93726,-2.32584,
230.5,2.00085,-2.64589,
231,1.9291,-2.72096,
231.5,1.98201,-2.97669,
232,1.87887,-2.88028,
232.5,1.90848,-2.88498,
233,1.87252,-2.7669,
233.5,1.90119,-2.74668,
234,1.99886,-3.05996,
234.5,2.03028,-3.48049,
235,1.85087,-3.2885,
235.5,1.76813,-2.814,
236,1.68176,-2.04463,
236.5,1.92767,-2.11483,
237,1.9124,-2.13289,
237.5,2.03164,-2.55808,
238,1.86074,-2.39976,
238.5,1.82026,-2.10325,
239,2.01232,-2.46246,
239.5,1.98656,-2.73374,
240,2.0049,-3.06762,
240.5,1.95852,-3.24316,
241,1.76983,-2.77449,
241.5,1.77145,-2.31133,
242,2.08545,-2.92024,
242.5,1.92346,-2.97607,
243,2.08924,-3.59793,
243.5,2.03944,-4.04976,
244,1.81962,-3.75105,
244.5,1.8524,-3.56426,
245,1.90958,-3.57269,
245.5,1.81944,-3.27338,
246,1.86049,-3.11424,
246.5,1.72796,-2.50261,
247,1.91949,-2.54488,
247.5,1.81002,-2.21341,
248,1.92203,-2.26437,
248.5,2.00959,-2.61426,
249,1.92521,-2.67607,
249.5,1.92356,-2.73225,
250,2.02145,-3.12263,
250.5,1.88762,-3.0561,
251,1.88712,-2.98786,
251.5,1.8724,-2.86937,
252,2.00804,-3.21396,
252.5,1.97664,-3.45135,
253,1.91032,-3.4623,
253.5,1.78286,-3.0381,
254,1.92623,-3.10341,
254.5,1.98755,-3.37806,
255,1.91356,-3.4001,
255.5,1.83996,-3.17085,
256,1.94171,-3.289,
256.5,1.94101,-3.40474,
257,1.93579,-3.50267,
257.5,1.8469,-3.29711,
258,1.92071,-3.34354,
258.5,1.83058,-3.08227,
259,1.77508,-2.6315,
259.5,1.90253,-2.61587,
260,1.83935,-2.38454,
260.5,1.77966,-1.94939,
261,1.78688,-1.53891,
261.5,1.9681,-1.74716,
262,1.9207,-1.79358,
262.5,2.03463,-2.22897,
263,1.99895,-2.54254,
263.5,1.958,-2.71631,
264,1.92143,-2.76521,
264.5,1.94149,-2.88259,
265,1.8537,-2.70025,
265.5,1.93903,-2.80924,
266,1.94197,-2.92826,
266.5,1.94064,-3.04275,
267,1.8925,-2.99288,
267.5,1.85482,-2.81437,
268,1.88937,-2.75383,
268.5,1.90807,-2.75711,
269,1.90763,-2.75889,
269.5,1.84913,-2.56094,
270,1.90741,-2.56199,
270.5,1.89135,-2.50819,
271,1.78423,-2.08867,
271.5,2.10811,-2.77493,
272,2.03144,-3.19945,
272.5,1.83387,-2.94939,
273,1.92518,-3.01111,
273.5,1.91488,-3.03766,
274,1.83059,-2.77641,
274.5,1.97674,-3.01414,
275,1.84235,-2.79306,
275.5,1.97875,-3.03766,
276,1.98984,-3.32014,
276.5,1.96501,-3.51782,
277,1.77417,-3.06396,
277.5,1.83372,-2.81339,
278,1.97268,-3.03727,
278.5,1.87818,-2.93849,
279,1.882,-2.85276,
279.5,1.99279,-3.14531,
280,2.0322,-3.57241,
280.5,1.77161,-3.10981,
281,1.92349,-3.16574,
281.5,1.67524,-2.37409,
282,1.97384,-2.60193,
282.5,2.02058,-2.98936,
283,1.985,-3.25532,
283.5,1.78055,-2.82324,
284,1.84107,-2.59778,
284.5,1.84127,-2.37301,
285,1.86644,-2.23418,
285.5,1.76415,-1.74608,
286,1.96019,-1.9273,
286.5,2.10681,-2.60912,
287,1.85561,-2.43328,
287.5,1.94383,-2.55868,
288,1.88295,-2.47618,
288.5,1.89476,-2.43402,
289,1.90296,-2.41984,
289.5,1.84938,-2.22274,
290,2.08215,-2.82037,
290.5,2.1211,-3.55098,
291,1.84561,-3.34103,
291.5,1.835,-3.09485,
292,1.80106,-2.73278,
292.5,1.85047,-2.5394,
293,1.95782,-2.71255,
293.5,1.9352,-2.80846,
294,1.89109,-2.75376,
294.5,1.93665,-2.85462,
295,1.94912,-2.99807,
295.5,1.91452,-3.02337,
296,1.70927,-2.3479,
296.5,1.93037,-2.42732,
297,1.81787,-2.12265,
297.5,1.77897,-1.68517,
298,1.93951,-1.79579,
298.5,1.97675,-2.03355,
299,2.10734,-2.71719,
299.5,1.96715,-2.92219,
300,1.91276,-2.94148,
300.5,1.93245,-3.02802,
301,1.88309,-2.94601,
301.5,1.70932,-2.27074,
302,1.84468,-2.05759,
302.5,1.97308,-2.28283,
303,2.08225,-2.8808,
303.5,1.92844,-2.95363,
304,1.90461,-2.94509,
304.5,1.84455,-2.7315,
305,2.09543,-3.37448,
305.5,1.96226,-3.56278,
306,1.79877,-3.19288,
306.5,1.9284,-3.26559,
307,1.87379,-3.15183,
307.5,1.91296,-3.17183,
308,1.96396,-3.36595,
308.5,1.89602,-3.32811,
309,1.9853,-3.59509,
309.5,1.75067,-3.06098,
310,1.86561,-2.91931,
310.5,1.90735,-2.92014,
311,2.04626,-3.39525,
311.5,1.91355,-3.41724,
312,1.75329,-2.89206,
312.5,1.89674,-2.85665,
313,1.96747,-3.06276,
313.5,1.83499,-2.81654,
314,1.75414,-2.29426,
314.5,1.99879,-2.6073,
315,2.01808,-2.98619,
315.5,2.03329,-3.41699,
316,1.8138,-3.09843,
316.5,1.76926,-2.6278,
317,1.89488,-2.58606,
317.5,1.87364,-2.47179,
318,1.87305,-2.35553,
318.5,1.905,-2.34833,
319,1.80425,-1.99716,
319.5,2.07853,-2.58244,
320,1.91806,-2.61984,
320.5,1.88563,-2.54651,
321,1.98156,-2.8007,
321.5,1.97522,-3.03326,
322,1.86317,-2.88324,
322.5,1.89009,-2.82514,
323,1.82428,-2.54235,
323.5,1.84743,-2.33861,
324,2.03285,-2.76792,
324.5,1.75331,-2.24283,
325,1.96691,-2.44701,
325.5,1.95557,-2.61248,
326,1.94771,-2.7511,
326.5,1.96356,-2.94383,
327,1.84271,-2.72396,
327.5,1.82552,-2.44542,
328,1.96109,-2.62974,
328.5,1.93517,-2.72554,
329,1.95813,-2.89976,
329.5,1.70158,-2.19803,
330,1.97104,-2.41631,
330.5,1.78418,-1.99661,
331,1.86362,-1.84813,
331.5,2.07345,-2.41605,
332,1.95038,-2.5638,
332.5,1.8909,-2.50846,
333,1.8017,-2.14859,
333.5,2.06392,-2.68396,
334,1.84644,-2.47685,
334.5,2.03958,-2.92912,
335,1.88815,-2.86439,
335.5,1.77541,-2.41474,
336,2.01931,-2.79784,
336.5,1.80629,-2.45362,
337,1.91708,-2.48769,
337.5,1.99899,-2.8014,
338,1.87667,-2.69747,
338.5,1.95424,-2.8584,
339,1.92616,-2.92344,
339.5,2.00094,-3.24381,
340,1.8889,-3.18165,
340.5,1.83689,-2.94191,
341,1.87123,-2.81942,
341.5,1.92779,-2.89002,
342,1.84221,-2.66845,
342.5,1.94629,-2.80222,
343,1.72517,-2.18104,
343.5,2.12079,-2.91059,
344,1.92138,-2.95931,
344.5,1.88966,-2.89974,
345,1.88779,-2.83379,
345.5,1.93685,-2.93535,
346,1.82529,-2.656,
346.5,1.8917,-2.60339,
347,2.01278,-2.9642,
347.5,1.97284,-3.18863,
348,1.91394,-3.21195,
348.5,1.88094,-3.1226,
349,1.98397,-3.38501,
349.5,1.85346,-3.20185,
350,1.89231,-3.15134,
350.5,1.95967,-3.33081,
351,1.86546,-3.18863,
351.5,1.89551,-3.14903,
352,1.88988,-3.09021,
352.5,1.79221,-2.69793,
353,1.92469,-2.75797,
353.5,1.95519,-2.92212,
354,2.03355,-3.35384,
354.5,1.90176,-3.33558,
355,2.00998,-3.68681,
355.5,1.8013,-3.32555,
356,1.85225,-3.13827,
356.5,1.94461,-3.26632,
357,1.90604,-3.26267,
357.5,1.95244,-3.41744,
358,1.82241,-3.12828,
358.5,1.8032,-2.77351,
359,1.85032,-2.57963,
359.5,1.84338,-2.36205,
360,1.79874,-1.99207,
360.5,2.06365,-2.52655,
361,1.89389,-2.48144,
361.5,1.97391,-2.70951,
362,1.98448,-2.97368,
362.5,1.88451,-2.89652,
363,2.01416,-3.26203,
363.5,1.85867,-3.09667,
364,1.78236,-2.67074,
364.5,1.7813,-2.2412,
365,1.89995,-2.21675,
365.5,1.9319,-2.3014,
366,1.99324,-2.59548,
366.5,1.97657,-2.83265,
367,1.95262,-2.98804,
367.5,1.92626,-3.05344,
368,1.79954,-2.68619,
368.5,1.85253,-2.49986,
369,2.08124,-3.0944,
369.5,2.0352,-3.53173,
370,1.79618,-3.153,
370.5,1.94813,-3.29305,
371,1.84846,-3.09282,
371.5,1.88389,-3.01357,
372,1.91892,-3.05391,
372.5,1.89164,-3.00111,
373,1.93872,-3.10904,
373.5,1.80077,-2.74599,
374,1.88078,-2.65612,
374.5,1.95354,-2.81465,
375,1.92022,-2.85941,
375.5,1.8327,-2.60537,
376,1.78579,-2.19115,
376.5,1.9274,-2.26045,
377,1.92638,-2.32627,
377.5,1.94798,-2.4658,
378,1.92855,-2.53901,
378.5,1.82134,-2.24618,
379,1.93213,-2.33161,
379.5,1.79003,-1.93189,
380,1.9893,-2.2125,
380.5,1.8401,-1.98373,
381,1.96646,-2.18637,
381.5,1.94882,-2.32878,
382,1.9933,-2.62307,
382.5,1.85998,-2.46216,
383,2.00842,-2.80807,
383.5,1.94876,-2.9503,
384,1.96864,-3.16038,
384.5,1.92725,-3.22914,
385,1.76623,-2.74815,
385.5,1.77654,-2.30236,
386,1.8162,-1.99197,
386.5,1.87887,-1.89557,
387,1.84527,-1.68444,
387.5,1.97088,-1.90219,
388,1.96676,-2.10584,
388.5,1.96576,-2.30608,
389,1.9591,-2.4836,
389.5,1.89987,-2.45889,
390,2.00273,-2.78537,
390.5,2.00336,-3.11399,
391,1.90864,-3.11921,
391.5,1.93094,-3.20057,
392,1.87303,-3.08422,
392.5,1.88589,-3.01179,
393,1.91264,-3.03067,
393.5,1.82815,-2.76109,
394,2.03516,-3.19828,
394.5,1.91015,-3.20868,
395,1.89562,-3.16946,
395.5,1.88186,-3.08325,
396,1.87074,-2.95908,
396.5,1.93824,-3.06537,
397,1.9384,-3.17221,
397.5,1.84087,-2.94606,
398,1.9434,-3.06998,
398.5,1.91382,-3.09289,
399,1.88732,-3.02533,
399.5,1.84136,-2.80086,
400,1.94091,-2.91627,
400.5,1.81141,-2.58954,
401,1.83654,-2.34859,
401.5,2.03958,-2.8009,
402,1.83421,-2.552,
402.5,1.84986,-2.35655,
403,1.86894,-2.22624,
403.5,2.12238,-2.96124,
404,2.08181,-3.55771,
404.5,1.82943,-3.29251,
405,1.8722,-3.17334,
405.5,1.69635,-2.45378,
406,1.9492,-2.5975,
406.5,1.89962,-2.57193,
407,1.99317,-2.86575,
407.5,1.81959,-2.56694,
408,2.03349,-2.99843,
408.5,1.82305,-2.71145,
409,1.89661,-2.6756,
409.5,1.91101,-2.68894,
410,1.73136,-2.08889,
410.5,1.90522,-2.08245,
411,2.00958,-2.43231,
411.5,2.00483,-2.76594,
412,1.97643,-3.00261,
412.5,2.02011,-3.38843,
413,1.86346,-3.2394,
413.5,1.84151,-3.01544,
414,1.90318,-3.00203,
414.5,1.77762,-2.55995,
415,1.92428,-2.61859,
415.5,1.8705,-2.49362,
416,1.87512,-2.3844,
416.5,1.87467,-2.27365,
417,1.7027,-1.57575,
417.5,2.00644,-1.91491,
418,1.95643,-2.08332,
418.5,1.98772,-2.35854,
419,1.87766,-2.25799,
419.5,1.80169,-1.89806,
420,1.93304,-1.98662,
420.5,2.02187,-2.37843,
421,2.04233,-2.84012,
421.5,1.97132,-3.05936,
422,2.10255,-3.72664,
422.5,1.81612,-3.416,
423,1.98576,-3.68452,
423.5,1.88162,-3.5975,
424,1.83908,-3.36524,
424.5,1.93661,-3.46598,
425,1.88935,-3.40535,
425.5,1.87294,-3.28871,
426,1.98498,-3.55458,
426.5,1.85662,-3.38219,
427,1.95016,-3.52919,
427.5,1.77852,-3.09018,
428,1.80639,-2.74633,
428.5,1.9775,-2.98665,
429,1.88888,-2.92442,
429.5,2.14543,-3.7381,
430,1.74642,-3.18948,
430.5,1.9712,-3.40831,
431,1.75535,-2.89017,
431.5,1.95424,-3.0511,
432,1.9242,-3.10945,
432.5,1.87233,-2.99071,
433,2.00042,-3.30929,
433.5,1.86298,-3.15864,
434,1.91537,-3.18685,
434.5,1.89441,-3.14349,
435,1.83833,-2.90867,
435.5,1.97556,-3.14237,
436,1.93026,-3.22143,
436.5,1.93912,-3.33073,
437,1.8728,-3.21361,
437.5,1.83222,-2.95793,
438,1.84594,-2.7491,
438.5,1.9921,-3.03928,
439,1.91119,-3.05322,
439.5,1.9143,-3.07778,
440,1.87322,-2.96207,
440.5,1.81559,-2.6496,
441,1.91788,-2.68639,
441.5,1.89417,-2.64223,
442,1.86745,-2.50684,
442.5,1.98094,-2.75893,
443,1.96197,-2.94623,
443.5,1.94696,-3.08231,
444,1.92292,-3.1363,
444.5,1.77908,-2.69918,
445,2.02643,-3.10658,
445.5,1.91072,-3.11893,
446,1.76195,-2.62335,
446.5,1.8964,-2.5868,
447,1.89769,-2.55466,
447.5,2.03353,-2.98629,
448,1.99509,-3.28666,
448.5,1.85506,-3.10896,
449,1.92674,-3.17598,
449.5,1.87834,-3.07777,
450,1.80122,-2.71626,
450.5,1.83577,-2.47271,
451,1.9952,-2.7735,
451.5,2.0306,-3.19513,
452,1.932,-3.28014,
452.5,1.88524,-3.20547,
453,1.7481,-2.66258,
453.5,1.98017,-2.91203,
454,1.90906,-2.91869,
454.5,1.82919,-2.65266,
455,1.93864,-2.76031,
455.5,1.9661,-2.96174,
456,1.96701,-3.16625,
456.5,1.88911,-3.10479,
457,1.84947,-2.90802,
457.5,2.00365,-3.23765,
458,1.98652,-3.50878,
458.5,1.93816,-3.61479,
459,1.99743,-3.92318,
459.5,1.90699,-3.92277,
460,1.72638,-3.30574,
460.5,1.79373,-2.91866,
461,1.83419,-2.66969,
461.5,1.92943,-2.74592,
462,1.79454,-2.36159,
462.5,2.07637,-2.93949,
463,1.8295,-2.67454,
